"index,Sentiment,Tweet"
"0,negative,tolol tidak hubung gugur pakai hijab syar bilang bayi panas dalem tidak hubung woyyyy otak jempol tidak singkron sih iya nulis komentar"
"1,negative,geblek tatacowo banget dibela2in balikanhadewwntar tinggal salah cowopadahal kitenya bodoh"
"2,negative,kemarin termewek2 skr lengket duhhh labil banget sih kya abege ajah kemarin cari sensasi biar top markotoppp ertong tidak kualitas"
"3,negative,inti kesel att gausah kah anak kasi kembang psikis anak tolol anak anak dikatain benci asa benci batesnya nama manusia gaakan suka haters"
"4,negative,hadewwwww permpuan lgsakit jiwaknp peran utama hantu jeruk purutky khabis stok artis"
"5,negative,pantesan tinggalin laki iya laki mikir kali perempuan kayagni urus tidak becus urus anak anak bapake didik"
"6,negative,balajaer sampah ig artissuka2 ig mau caption apakok balajaer heboh asik ceramahin igtar lama2 bikinin lagu kakak perempuan melly loh balajaer berjudulketika balajaer bersabdademi seonggak koin laknat nyabalajaer ngamuk arti iya banget koin laknat goda rt gigiduh elah balajaer kale laku biduan kaya apaminus segala2nyalagi bela mati2anpd sakit jiwa"
"7,negative,rakyat indonesia bodoh tidak beda buruk perilaku buruk tidak sopan santun pilih panutan idola murah kelas ber etika"
"8,negative,ayu janda bego suami nikah"
"9,negative,anyiennnnggg suara hancur banget merdu tukang goreng"
"10,negative,syarat sah nikah agama islam cpp cpw saksi wali nikah mas kawinmahar perkara makeup tidak manglingi bukan syarat sah nikah tidak makeup syarat penuh nikah sah yak emak emak julids"
"11,negative,cewek tidak ngerebut pacar abang ngedukung sifat jelek ck"
"12,negative,eh situ kids jaman now iya micin mna ngina bego pelihara"
"13,negative,jijik liat suer deh minceeee"
"14,negative,bukan tabu cium iya eneg citra sok alim sok sok bijak sok sok lai citra bukan sok alim sok suci serius"
"15,negative,cium dpn sih malu kecuali mabok tidak malu teman helooow buah teman tidak libat cium bibir coba bayangin sanggup tidak cium bibir teman teman dasar laku kids jaman now bego bukan micin lho yah"
"16,negative,anjing ngamukhidup dmana2 musuhudh kliatan mna bukanorg tidak musuh"
"17,negative,ahhh jaga lahh ngk jaga dasar munafik dasar betina zaman now ellu kali yangg micin otak selangkang paham moga tuhan ampunin munafik cun"
"18,negative,iya ampun upil naruto kata2nya cermin pecunpengalaman banget iya kasihan prihatin mati deh ngotorin dunia manusia"
"19,negative,jual goyang yak suara tahi"
"20,negative,kasi ih cari uang segitunya"
"21,negative,anjing tonton sangat tidak mutu"
"22,negative,inul goyang ngebor baju ketat dcekal sgja goyang dada melulu suara tidak sbrpa mrsk moral anak muda nnton bawa nafsu"
"23,negative,pnyanyi dangdut tidak kelas bgini bukany nonjolin suara nonjolin dada"
"24,negative,najis najis homo kaya musnah muka bumi"
"25,negative,haduuh tidak akhlak bangeg asa kerja antem melulu musuh"
"26,negative,lonte bukan sensasi ngjak ribut melulu sampah"
"27,negative,kayak banci nenek2 cucu now watching operasi mua top asli tidak cantik"
"28,negative,bagus mingkem hahahahahaha jahat akuuu"
"29,negative,oplas permak tetep jelek pokok muka tegang kaya banci sekian"
"30,negative,lihat adik molen biarpun cowok cuantik tidak kaya cewek kayak banci wkwkwk"
"31,negative,banci rombengmenjijikangay"
"32,negative,gila hitz cri tenar rela penjara cari sensasi settingan beken smpe hina2 astagfirullah kaya sih kaya mulut sampahga sekolah iya"
"33,negative,cowok anjing cuihhh kaya tidak koar ping kaya seduniakarena kaya kaya malahn perilaku sederhana pamer kaya dunia akhirat mampus harta tidak bawa mati pants buang kah laut anehhh"
"34,negative,cari sensasi tenar banya folowers tidak gitu gitu kalee darar tres bicara belepotan tidak gitu kamfungan"
"35,negative,bicara belepotan gaya banci"
"36,negative,makan tahi iya giniotaknya penuh tahi tidak berfikir positifdari bicara tidak bermoraldasar kaum2 laknat banci anjing kbanyakan burit sih stresmanusia tidak mau jumpa anjingcuma anjing mau ketemu tahi"
"37,negative,sikat abiss lahh orng2 sial kaya pimpin negara tidak hormatin mentang2 president sembarangin marah tidak hina pimpin harap tindak hukum orng inio"
"38,negative,jijik banget lihat tingkah upil mudah2an cepat tidur"
"39,negative,gila makan uang rakyat tidur"
"40,negative,manusia laknat mati apain iya"
"41,negative,sakit otak hati mah tidak nurani urat malu pajak loh ngegaji orang2 gila hormat"
"42,negative,anak babi bangsat sumpel timah panas kah mulut biar mati"
"43,negative,sumpel timah panas kah mulut anak babi pesek buruk rupa"
"44,negative,hai anak bangsat babi pesek buruk rupa keritingpengen penggal leher putuslumayan makan tidak setia"
"45,negative,ratu pelakor jagat raya lonte iya tidak malu ngerasa lonte tolong malu dikit"
"46,negative,mahhhh temu buah ranum buah busuk busuk manah mentok2nya mah pelakor"
"47,negative,ah manda mah gatel tidak liyat cowo dikit langsung sosor begok aje mau manda kegatelan cewek"
"48,negative,amanda muka kah tante umur muka boros banget dasar cabe jujur mah kgk suka haltis"
"49,negative,astagah suka cewek dekil mel nagita turun kah att nagita kaya emas att kaya barlen"
"50,negative,alah laki laki jaman bejat mau ustad kaya bukan kaya gila banget perempuan bukan istri stju banget bilang ustazah msuk surga bkan krna poligami akhlak masuk surga iya smoga sih perempuan perempuan pelakor sna azab tidak ampun hidup tidak selamat dunia akhirat"
"51,negative,gilaaaaa pelakor bnget laki gatal alas poligam woiii mikir pakai otak haduh pikir pintar agama buruk allah uji setia nafsu eh kaya gtu sakit istri sja tutup pintu rejekimu anak istri korban imam gagal mmpertahankan rumah tangga coreng nama suka benci"
"52,negative,pelakor hancur muka istri sah barang bagus cepat laku pelakor jelek tidak laku ngembat laki iya sama2 gatel cocok wes"
"53,negative,lama2 tidak suka deh ertong captionig story bicara mlu ambigu nilai gitu kaya zholimi salahinnya lawan bicara status ah dewasa"
"54,negative,pikir manusia bodoh eehhh tanteibuomaempo otak picik bngt iya manusi larang dunia larang ngungkapin unek2 stupid human"
"55,negative,heran deh ngatain via baperan iya wajar dese bawa asa udin muak munafik sok dese kabar baperan laki tidak nyadar puja att bukan gotong royong nasehatin att gila muja att mojokin viaa dese manusia les ahh"
"56,negative,komen via nyinyir melulu aduh kyak tidak nyinyirin parah sok mah pdhal media sosial hak instagram instagram nyinyir tidak pakai ig"
"58,negative,ngatain nyindir netijen goblok masyako"
"59,negative,didik ortunya nagita bagus sangat heran balajaer nagita yah rugi junjunganny benci bodoh banget asli"
"60,negative,kampung lohpake kerudung mulut cuihh"
"61,negative,belajaer iya hahahaha bela artis ampe manusah2 begoh"
"62,negative,iya arti norak kampyuung coba lihat artis adem ayem lihat isyana lihat agnezmo lihat liaaat liat coba telaah deh kasih contoh artis better eh iya cocok"
"63,negative,tidak sok high class lihat komenmu artis beda2 suka curah hati ig curah hati kah teman curah hati kah tuhan ngak mulut situ maju otak mikirnya curh"
"64,negative,bodoh tidak netizen kontra postingan via bakajaer kali mbamas ih bodoh piara tertawa"
"65,negative,sih artis ko artis indonesia bukan urus prestasi sosmed melulu isi jatoh kampung"
"66,negative,ya kaya agnes mau harga tidak kampung beda am"
"67,negative,munafik banget bicara curah hati sosmed kampung kitu keleusss wkkwkww via artis cantik nyanyi kampung wkwkwkwkw"
"68,negative,usernamewawan zzzzz artis tidak teman dikit dikit att hahaha curah hati sosmed kampung"
"69,negative,lemes iya mulut berani ststus tulis sengaja biar tidak baca takut kali labrak mmmm artis kampung sih iya wajar iya"
"70,negative,main main kah jawa timur biar tidak begok"
"72,negative,nunjukin karya situ karya karya nyinyir hidup via tolol"
"73,negative,bilang fansnya via aduh nantangin anak tolol anak norak jarang belai"
"74,negative,yutub iya aplikasi iya tau youtube tidak iya seseorg hasil salah youtube loh mreka bayar video mreka sekolah deh biar pinter generasi muda"
"75,negative,suka gangerti deh iya via vallen status sangkut pautin att melulu att fansnya sih jelek sangkut pautin melulu lamalama gerah kali"
"76,negative,jujur iya bagus tidak oplasada foto oplasdioplas muka anehkyknya gagal oplasnya"
"77,negative,noraaak abiiis kebel emas az pamer aplg main berlian ciiinnnnn"
"78,negative,before and after pasca oplas tidak ngefek iya tetep jelek rem mukanyaahahahhaha"
"79,negative,salfok kah muka sumpah jelek oplas model failed"
"80,negative,norak gaet jahat"
"81,negative,najisapalagi philipine banget kalid banggajd usak moral ko bangganajis banget liatnyackp komen nydia pngn ngetop nitezerrrewkwkwkngarep laku"
"82,negative,bingung jujur media rebut ngeliput kayak net media informasi waras"
"83,negative,jedun tidak becus perempuan hormat tidak becus perempuan cerdas tidak becus perempuan cari suami sah bukan suami tidak becus perempuan hindar narkotika psikotropika obat larang tidak becus perempuan jaga nama moga perempuan kayak dunia iya jedun"
"84,negative,cewek bgni hrsnya gosong abu bakar pabrik viral kemarin bnr2 slain tidak brguna tidak uang otak modal ngangkang gebet laki bangga by the way instastory nyindir bin tua mah ehhh at least biar tidak becus prewi becus cuii emak bukti anak profesional kah emaknya"
"85,negative,hahahakasian yagak becus peremharus ngerebut laki biar perempuan dasar perempuan tidak sadar cuy"
"86,negative,dasar artis abal abal enggk laku layar kacaudh enggk uang tidak uang miskinjadi main dukung elmu pelet rebut suami kaya"
"87,negative,ih becus makrum becus ngrebut suami he"
"88,negative,eeee lacur situ becus brempuan becus sampah sih iya edeuuuuuh lonte lonte"
"89,negative,biarinpuas puasin selagi deseu brasa muda tua nyaho karma"
"90,negative,anak perempuan lho contohin jelek kah anak becus perempuan amit amit"
"91,negative,kaya becus permpuan tidak becus perempuan ko suka laki orng heheh"
"92,negative,tidak becus loh jedunhidup ngerusak kbhgiaan mau hidup serba mewah tidak mau krja mlh morotin laki orgkarma mnghampirimu"
"93,negative,tidak suka hidup ribut"
"95,negative,nama plagiat iya plagiat laku tetep ajah cipta hasil plagiatwkwkwkwk mah tidak mau dwngerin ajah pngen muntah"
"96,negative,dasar plagiat tidak kreatipmemalukab banget"
"97,negative,bego bilang yaaa lirik cinta lagu bener bener tolol ayu gapunya kuping ya dipermasalahin nada"
"98,negative,pacar anggel pietrs kali cowok bocah yaelah jes terxta laku mu ayuting2 hidup penuh drama murah"
"99,negative,japok gateeel emanguda main mamadsampe jessica dimusuhindeddy corbuzier jijik japok semenjak nagita undang arti nagita cerita panggungitu sih"
"100,negative,malu buk bicara pelakor ibuk pelakor iya ayu pelakor wkwkwkwkwk awas rumah tangga dimasukin pelakor anak pelakor"
"101,negative,kerdus mulut busukjangan sampah makan"
"102,negative,kotor gedein bagus pupuk jngan bicara bodoh cewek bawa2 suku"
"103,negative,artis papan blenyek belagu artis kga populer sekalu hahaha"
"104,negative,anang muka kaya babiii demenin jijikk"
"105,negative,tidak suka ayu ting ting tidak parah ngejudge hati otak manusia asa enak menjudge kaya sempurna"
"106,negative,tidak pantes panggil ustadorg munafik ceramah laku sndr menzolimi istri sah poligami diam2kacian istri pertamanyaga malu istri hadeh panggil ceramah nama bodo"
"107,negative,biadab anak bully mampusin iya"
"108,negative,dasar anjing cowok bukan berani cowok one by one lemah dasar yah cowok2 jaman casing doank cowok nyali lebih2 banci"
"109,negative,iya kasi micin produk micin iklan masak micin biar sedap netizen sudut mecin olah bodoh ganggu jiwa ngemil micin"
"110,negative,wahh jngn2 vidio lamakok baju norak bngtt ayuuterlihat murahaan"
"111,negative,bego iya"
"112,negative,edit banget iya ampun mommy lambe habis gosib iya pelakor"
"113,negative,yah admin masuk golong konsumsi mecin pil pcc otak rusak admin"
"114,negative,govlok prcya ayu slgkuh rafibuktinya rafi gigi baek2 ajadan ktamu ayu pelakor suami rebut woyy ayu suami fikir pakai otak mkanya kbanyakan micin govlok"
"115,negative,hoy baris sakit hati jijikk banget fans billy mah alhamdulillah banget billy putus manusiaa buluk ituu tunggu lama2 akhiry putus kobil jijik"
"116,negative,tidak ngerasa cinlok babang anthony ketemu sih set boy alah ajaaa arti dumang cinlok sok2 bilang tidak cinlok nama bodoh wajar netizen bilang ratu cinlok nyata iya marah resiko artis hahahhaa pintar iya mau cari alas hahahahaha"
"117,negative,noh urus kuin biar tidak gatel nempel2 laki orng masyarakat kali japok gundik janda gateludh nyata begtu anak sholehah agama kuat kuliah agama cma agama kuat hamil"
"118,negative,bilang kuin gesek grepe lakik orng tidak malu hamil nikah kegatelan janda"
"119,negative,please bela pelakorini hukum muljem tega recut suami sahabat sendiridia jalan sanksi sosial valakor mesti benci biar tidak valakor indonesiabiar musnah sem"
"120,negative,najis muakk jijik pelakor jijik"
"121,negative,moga pelakor2 kena karma moga karma tinggal istri bwrjuang nol sukses selingkuh sok kuasa kah istri iya"
"122,negative,sedih iya ngamen kawin mantan istri mahhhh pesawat jet bhay pelakor botakbego"
"123,negative,heeehh pelakornya yaaaakkk ngapa emosi situuu kenal berani pakai akun asli pantes pakai akun bodong ngerebut laki diam diam ceplos yak pakai bodong tertawa gueeee lucu"
"124,negative,wkwkwkwk tidak laku nyanyi dhajatan lonte pelakor"
"125,negative,wakakak cerita kaya gituu ajar swamik swamik milih kah pelakor istri hancuuurr bookk tidak bohong deh tidak uang kismin nyungsep ngatur rezeki tuha"
"126,negative,cwenya bego cwonya pinter iya laki kaya macho plus kayak jago suka rayu maennya gesit ulala"
"127,negative,bodoh depok komen tidak arti hidup tidak bahagia suka hujat hidup artis ayu pengaruh dasar benci ayuklo"
"128,negative,mah lihat lihat bukan main prasangka kayak eluelu haters kayak dukundukun titis dajjal sok pinter otak kosong maaf ye bala nabi muhammad percaya ditunjukkin saksi bukti"
"129,negative,ku sepet baca koment fans ubul empang minggir woy rusuh jaer amis jijik sumpahsoal enji cewek bala jaer sampah ribut"
"130,negative,sih enji hart kah males banget jijik laki model mah tidak tanggung jwbnya ayu bunting tinggalin anak tidak akuin anak nongol bilqis cantek eh sampek bini ngeposting olah enji kangen anak najonggg jijik betoll deh admin tidak bahas laki hart bukan tidak panutan ambil"
"131,negative,bego percaya bicara olah bilang bukti tidak mau lihat pinter jatohnya bego"
"132,negative,bilang enji ganteng bebas slingkuh bego kali ganteng bau menyan gada ganteng ganteng gaya kaya mantan bini depok"
"133,negative,sebenarnye cocok enji att gateeeel hahah pantesan tongtong temu enji hukum alam jodoh cermin entong hrsnya bekaca biar sadar teryata otak tetep mau tahan mlh guatelnye kaya enji hah"
"134,negative,oalaahhh pelakor laki kegatelan nama laki kucing ksh ikan jaer gratis iya kga nolak wkwkkwkw"
"135,negative,laki iya kakak perempuan suka pecun2 murah prempuan baik2 jilbab pintar enji2 downgrade sih dangdut kelas prempuan jilbab ehh milih pecun jelek selera"
"136,negative,motorninja sombong mobil lamborgini wae"
"137,negative,bodoh kali kaget"
"138,negative,tidak usa pakai anjing babi balas tertawa"
"139,negative,oh kemarin tidak harga karya enak bilang jelek banget aduh penganten perempuan kenyang yah ampe kembung perut"
"140,negative,percaya gimik raffi gigi attsehingga att hujad anak nydi hujad kesini tonton bodohin publik tuju kasihan penghujad tidak ayu tidak pesbukers biar ngeluarkn album single artis nengri gimik yoo"
"141,negative,gimmick bodoh banget ayu rating popularitas berani taruhin harga nilai buruk masyarakat"
"142,negative,susah otak diemvang mah rusuh lapak"
"143,negative,najiiisss kayak dese tidak ajaaa hahahahaha maling teriak maling ngaca buuuuuk"
"144,negative,iyak kaa hahahahah geli banget gasih att ih kampung habis"
"145,negative,joget ngakakkk anjirrrr kampung banget"
"146,negative,bagus arti otak tidak kayak malu maluin tong akun asli pakai nama bego"
"147,negative,bego mah sih mau contoh buruk kah anak pakai dunia gemerlap bawa anak bego sih jaman texas jamin jam anak texas selagi tidak ngerugiin ya sewot banget"
"148,negative,wanita jahiliyah lesbi py pacar kasi anak kemarin ksh bencana slnya tega misahin anak ktakutan anak masuk islam bp tidak nuntut anak peluk islam ksh nikmat anak nakal"
"149,negative,kador artis beneran komen tolol sumpah kenal nilai artis bukan hahaha indonesia tuju kador bukan artis celebgram kampung beda artis selebgra"
"150,negative,hahahaaaa tolol pakai kador banci tidak kenal wkwkwkwkw eh nilai kador banci beneran gerak gerik melambay suara ngondek pakai baju cewek nyaman cowok"
"151,negative,maklumin shaaay fans gatis keras otak bebel realita tidak terima nagita artis jaman eh bilang numpang tenar kah rapi mamadpdhl mamad gede ya ph"
"152,negative,usernamebee idih najong tag2 kaya mujaer tidak kenal tidak bawa2 nama ayu ting ting nagita aduh bego piara kasihan"
"153,negative,langsung bilang maksud nama munafik"
"154,negative,jedar muka kali busuk mulut kaya banci cucoklah banci"
"155,negative,amit amit deh jahat jilat bohong pelakor jijik banget"
"156,negative,wkwkwkwk iya allah iya tuhan ku munafik sok suci mulan jamela ayu ting2 ngikuti jejak bukan wkwkwk"
"157,negative,pelakor sombong brhasil dapetin botak smpe mnceraikan bunda mayaskrg hdp mkin anjlok bunda maya sring jelong2 kluarnegri"
"158,negative,hahhahaha sungguh allah swt laknat wanita rebut zina suami sah oranglain"
"159,negative,lina2706 hemmmm capekmiskin sist blik tidak uang artis tidak laku karma sirik nyinyirin nyonya bantuin jual cireng cilok untun libur monaco bromo"
"160,negative,mau urus nyonyiah jongos tetehlu pas hamil peak udeh dinikahin brojol anak sirih lonteeeee kelas akun jamahliur junjung he"
"161,negative,eh jongos cba duluan nyonyiah gembar gembor nikah nyonyiah udeh nikah tetehlu lonte wanita tuna susila brojol nikah siri laki nyonyiah hamidun sapeak anak ilegal dibilng fitna keji tertawa lonte tolak lupa xixix"
"162,negative,currr iya bunmai nikah janda janda suami rampas mulan jameelamenjijikkan banget iya mulan jameela rumah tangga bunmai hancur berani bilang suami aduha wanita be"
"163,negative,lina2706 lucu iya sist lonte bela2 mati2an goblok pelihara bayar gitu muljamban account mau maia nikah nikah urus situ lihat nyinyir sirik"
"164,negative,yaela muljem kyak stu bner tidak inget ngrusak kbhagian bego prtahanin ya"
"165,negative,lakik doyan banci banci kawinin banci jijik"
"166,negative,comment tidak lihat media sosial bodoh bunyi situ sehat pakai hijab mas nyinyir"
"167,negative,malu kerudung sayang ibadah sholat nyinyirin dandan sok suci mulut kaya sampah"
"168,negative,tolong baca arti comment kerdusbodoh bilangin tua besok masak pakai mecin kerdungab tidak sesuai mulut besok makan salmon tidak besok tidak deliv kah rumah"
"169,negative,maaf muka jelek attitude burukspesialis plagiatdan"
"170,negative,otak tidak sekolahin iya resiko upload sosmed iya bincang netizen public figure tidak otak"
"171,negative,artis kampung tertawa"
"172,negative,iyaaa pacar nikah tidak norak eloo tidak risih aplod perhati followers lumayan bawa norak"
"173,negative,ya ampun pnyanyi dangdut tenar sombong bangt bacot pngn cari sensasi kmpungan bangt deh amit amit bool ko instastory"
"174,negative,waaaaoooosopan bahasami kelas heeeehh repot hidup siapahh live nampilin hal2 tidak pentingyg nggilanikk menjijikkandiliat iya pantes dikomenklo tidak now watching dikomen videoin pribadi rumah nambah niy ertong tidak attutude kampung"
"175,negative,norak sihkayak tidak malunyakl bilang serah diaya udahsimpan fotonyagak pamer kemanaresikolah nyinyir oranginsecure bangetkudu iya pamer2 biar erti py pacar dipamer2 pantatnyakampung banget"
"176,negative,marah sehhhdasar wanita kampung"
"177,negative,kampung artis numpang tenar gara2 muka katy perry doango"
"178,negative,susah artis kampung"
